File Version;BWSpec 3.24u_57
Date;2020-10-16 17:01:54
title;LNR
model;BTC112
c code;LNR
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;1
bkcolor;16777215
show_mode;0
data_mode;0
pixel_mode;0
intigration times;100
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;0
yaxis_min;0
yaxis_max;40000
xaxis;0
xaxis_min;1135
xaxis_max;1210
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;65535
irradiance_unit;2
coefs_a0;56.4727032153169
coefs_a1;0.527519096310243
coefs_a2;-4.78162174181729E-5
coefs_a3;-2.53245126997529E-9
coefs_b0;-128.921959967585
coefs_b1;2.06327521902494
coefs_b2;-0.000259814230350486
coefs_b3;6.61070614724896E-7
all_data_save;1
select_option;-1
interval_time;50
pixel_num;2048
sel_pixel_start;0
sel_pixel_end;2047
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;697
vertical_line4;697
vertical_line3_wv;450
vertical_line4_wv;450
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;0
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Lamp FitCurve;Irradiance Ratio;Irradiance_1(uW/cm^2/nm);Irradiance_2(uW/cm^2/nm);Irradiance_3(uW/cm^2/nm)
0;   ;   ;   ;0.0000;65535.0000;1101.0000;1101.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
1;   ;   ;   ;0.0000;65535.0000;1101.0000;1101.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
2;   ;   ;   ;0.0000;65535.0000;1077.0000;1077.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
3;   ;   ;   ;0.0000;65535.0000;1106.0000;1106.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
4;   ;   ;   ;0.0000;65535.0000;1086.0000;1086.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
5;   ;   ;   ;0.0000;65535.0000;1140.0000;1140.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
6;   ;   ;   ;0.0000;65535.0000;1081.0000;1081.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
7;   ;   ;   ;0.0000;65535.0000;1060.0000;1060.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
8;   ;   ;   ;0.0000;65535.0000;1131.0000;1131.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
9;   ;   ;   ;0.0000;65535.0000;1083.0000;1083.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
10;   ;   ;   ;0.0000;65535.0000;1063.0000;1063.0000;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ; 
